,,,,,,,,,,,,,,,,,
ITIT helpdeskUtilize automation for tasks like password resets to enhance efficiency.,57,IT,IT helpdesk,,,How do you approach the topic of automation (self-services)?,This has not been one of our focus topics in the past,We analyze the reasons for ticket and ask the supplier what to do,"Based on the top reasons for ticketing, we create self-help/ FAQ answers",We regularly do process reviews and understand how e.g. Password reset can be done,2%,3%,1.5%-3.0%,Utilize automation for tasks like password resets to enhance efficiency.,Change the Nature of Demand, Reduce Complexity, Automate routine tasks
"FleetPolicyThe Optimal Cross-Functional Car Policy ensures efficient vehicle use and maintenance across departments, promoting cost-effectiveness, safety, sustainability, and compliance with organizational goals.",58,Fleet,Policy,,,How do you define an individuals eligibility for a company car?,People receive cars according to an established old standard,It is relativly easy to receive a car within the company,Superior needs to decide who needs a car,"The employee needs to prove he needs a car for daily interaction, otherwise he can chose a car from the car park",1%,2%,1.0%-2.0%,"The Optimal Cross-Functional Car Policy ensures efficient vehicle use and maintenance across departments, promoting cost-effectiveness, safety, sustainability, and compliance with organizational goals.",Manage Spend, Control Compliance, Implement optimal car policy
"ConsultingNAImplementing a robust performance monitoring system for consulting providers ensures adherence to service agreements and budget, resulting in high-quality service delivery and maximizing return on investment.",59,Consulting,NA,,,"How do you measure and monitor the performance of consulting providers? Do you have a system for evaluating service quality, adherence to SLAs, and overall return on investment? Eg. ROI, Adherence to budget, adherence to timeline",No formal process to measure and monitor performance,"Performance measured on basic criteria, with infrequent or inconsistent feedback","Defined process measures performance against KPIs and SLAs for consulting providers, with regular feedback mechanisms","Comprehensive performance management framework includes regular reviews, feedback mechanisms, and continuous improvement initiatives for consulting providers. Feedback is stored centrally and can be reviwed at next tender.",1%,1%,0.5%-1.0%,"Implementing a robust performance monitoring system for consulting providers ensures adherence to service agreements and budget, resulting in high-quality service delivery and maximizing return on investment.",Manage Spend, Control Compliance, Monitor supplier performance/SLAs
"Facility ManagementNAEnsure comprehensive transparency in demands and needs for soft services to achieve harmonized SLAs and maintain controlled spending, enhancing service provider monitoring.",60,Facility Management,NA,,,How do you rate the degree of transparency of the individual demands for Soft Services?,<20%,20-60%,60-80%,80-100%,1%,2%,1.0%-2.0%,"Ensure comprehensive transparency in demands and needs for soft services to achieve harmonized SLAs and maintain controlled spending, enhancing service provider monitoring.",Manage Spend, Control Compliance, Ensure transparency in demand/SLAs
"ConsultingNATo select suppliers, a RFP must be set-up where commercial has a min. relevance of 40%",61,Consulting,NA,,,How do you select suppliers - so that the qualitative & commercially best supplier wins? ,Consulting companies are directly chosen by the requestor,"Ruleset per se requires the company to do tenders, but especially C-Suite is not acting upon it","Tenders are conducted across all levels, but decision makers in the end chose the party they prefer, regardless of pricing",Clear & transparent tender process conducted. A pre-defined scorecard defines the winner of the bid.,1%,2%,1.0%-2.0%,"To select suppliers, a RFP must be set-up where commercial has a min. relevance of 40%",Leverage Competition Among Suppliers, Competitive Bidding, Define RFP criteria (commercial weighting)
"FleetPolicySetting service levels based on comprehensive price comparison and contract terms helps ensure that fleet lifecycle costs are commercially suitable. This method allows for the utilization of the minimum number of assets necessary, optimizing costs and maintaining high service standards.",62,Fleet,Policy,,,"How do you set service level that is fleet lifecycle holding cost
commercially suitable and utilizes the minimum number of assets possible","We take what the main client wants from us, average lifecycle for cars is 3 years","Certain service levels are standardized, compliance is not tracked",KPIs and SLAs exist but are different per different country,"KPIs and SLAs in place, 100% compliance - lifecycle is between 4-5 years for cars.",1%,1%,0.5%-1.0%,"Setting service levels based on comprehensive price comparison and contract terms helps ensure that fleet lifecycle costs are commercially suitable. This method allows for the utilization of the minimum number of assets necessary, optimizing costs and maintaining high service standards.",Change the Nature of Demand,Optimize Asset Utilization,Set Service levels based on cost/value
"PackagingNAExpressive bidding refers to obtaining supplier offers while allowing for “if-then” conditions (e.g. delivery period, service levels).",63,Packaging,NA,,,How frequently do you negotiate prices with your suppliers?,Every 5+ years,Every 4 years,Every 2 years,Annually or more frequently,3%,6%,3.0%-6.0%,"Expressive bidding refers to obtaining supplier offers while allowing for “if-then” conditions (e.g. delivery period, service levels).",Leverage Competition Among Suppliers, Competitive Bidding, Expressive bidding
"Facility ManagementNAAim for high standardization across sites, using a tiered system if needed, to categorize buildings for applicable standards.",64,Facility Management,NA,,,"How high is the share of specs, that are standardized group-wide?",<20%,20-60%,60-80%,80-100%,1%,2%,1.0%-2.0%,"Aim for high standardization across sites, using a tiered system if needed, to categorize buildings for applicable standards.",Change the Nature of Demand, Optimize Specifications, Standardize across sites
"MRONADistributors can meet much of the MRO demand with their broad white-label portfolio and support their implementation. For the ""Other"" product group, 40% coverage is assumed.",65,MRO,NA,,,"How high is the share of spend that is already purchased via distributors with competitive framework agreements (e.g. year-to-year savings, volume discount)?",<20%,20-30%,30-40%,>40%,2%,3%,1.5%-3.0%,"Distributors can meet much of the MRO demand with their broad white-label portfolio and support their implementation. For the ""Other"" product group, 40% coverage is assumed.",Leverage Competition Among Suppliers, Standardize Specifications, Use white-label/private label products (MRO)
"MRONAWhite-label products offer a budget-friendly option compared to OEM parts, but ensuring their technical equivalence is crucial. The approval process for these products requires urgent review and optimization. Distributors are in a position to initiate and oversee this improvement.",66,MRO,NA,,,How high is the share of white label per category?,<15%,15-25%,25-35%,>35%,1%,2%,1.0%-2.0%,"White-label products offer a budget-friendly option compared to OEM parts, but ensuring their technical equivalence is crucial. The approval process for these products requires urgent review and optimization. Distributors are in a position to initiate and oversee this improvement.",Leverage Competition Among Suppliers,Standardize Specifications,Use white-label/private label products (with technical review)
"LogisticsRoad LogisticsFirms often have multiple supplier rate cards, with varying prices for different weight buckets or service levels. A system recommending the best option for each shipment can optimize costs and efficiency.",67,Logistics,Road Logistics,,,How integrated are you with carriers to reduce manual workload through digitization?,Not at all,Minor integrations,Important interfaces are integrated,Fully integrated with all partners,0%,1%,0.3%-0.5%,"Firms often have multiple supplier rate cards, with varying prices for different weight buckets or service levels. A system recommending the best option for each shipment can optimize costs and efficiency.",Manage Spend, Control Compliance, Optimize rate card selection
Temp LabourNAPre-define the strategy regarding temps vs. perms. Ensure departments adhere to their budgets,68,Temp Labour,NA,,,How is demand derived for temp labour?,Every BU can freely request temp labour profiles,A budget for temp labour is defined in advance and challenged on a regular basis (e.g. department has to re-justify why demand exists),Insourcing of an external resource is tested after a 9 month period (accordance to strategic importance and cost aspects),"Workforce planning is conducted by HR in accordance with the respective departments (incl. FTE role vs. temp labor, policy/guideline/ governance)",2%,3%,1.5%-3.0%,Pre-define the strategy regarding temps vs. perms. Ensure departments adhere to their budgets,Change the Nature of Demand, Optimize Labor Mix, Define temp vs. perm strategy
HRTrainingConduct demand management: reduce not obligatory trainings.,69,HR,Training,,,How is demand derived?,Every individual can freely chose a training program & the company pays for this,There are general frames to which extend trainings can be chosen,There is a larger list of pre-negotiated trainings the indivudual can chose from,"Just minimum required trainings are conducted, e.g. safety training",3%,5%,2.5%-5.0%,Conduct demand management: reduce not obligatory trainings.,Change the Nature of Demand, Reduce Consumption, Manage non-obligatory demand
"Temp LabourNAGlobal RFPs are conducted every 2-3 years, requesting additional savings ideas (e.g., reducing equal pay in Germany).",70,Temp Labour,NA,,,How is temp labour sourcing conducted?,Every site/ BU sources their temp labour agencies individually,BU bundle their volumes so that truly global volumes are put on the market,"Next to hourly rate and multiplier also other benefits are requested, e.g. free trainings, additional ideas to circumvent high payment",Global RFPs are conducted and additional ideas for savings are requested (e.g. reduction of equal pay in Germany),1%,1%,0.5%-1.0%,"Global RFPs are conducted every 2-3 years, requesting additional savings ideas (e.g., reducing equal pay in Germany).",Leverage Competition Among Suppliers, Competitive Bidding, Conduct global RFPs (regularly)
HRTrainingStreamlining the training approval process and ensuring adherence to guidelines results in efficient procurement and cost savings,71,HR,Training,,,How is the approval process for training set-up?,The employees does the training he wishes for,The employee needs to discuss the trainings with his boss,,There is a rigorous approval process for trainings outside of prescribed catalogue and preferred partner network,2%,3%,1.5%-3.0%,Streamlining the training approval process and ensuring adherence to guidelines results in efficient procurement and cost savings,Manage Spend, Improve Process Efficiency, Streamline approval processes
"ITEnd user/ Workplace HardwareStandardized hardware specifications / product variants. This enables more efficient sourcing & buying, along with better consistency and more streamlined support processes.",72,IT,End user/ Workplace Hardware,,,How is the specification of the HW defined?,The specification is defined according to what the employees ask for.,-,Employee's needs are assessed and based on the relevant user group the specification is assigned to.,Within a collaborative optimization the features are evaluated in monetary terms and decisions are based on them.,1%,2%,1.0%-2.0%,"Standardized hardware specifications / product variants. This enables more efficient sourcing & buying, along with better consistency and more streamlined support processes.",Change the Nature of Demand, Optimize Specifications, Standardize hardware specifications
"Facility ManagementNAEstablish a central Facility Management organization for easier service provider monitoring, increased transparency, and better control over categories and services.",73,Facility Management,NA,,,How is your facility management organized?,Not organized,Local,Regional,Central,1%,1%,0.5%-1.0%,"Establish a central Facility Management organization for easier service provider monitoring, increased transparency, and better control over categories and services.",Manage Spend, Improve Process Efficiency, Centralize FM organization
"TravelTravel Management AgencyConsolidating travel agencies leverages volume bundling, reducing costs through economies of scale.",74,Travel,Travel Management Agency,,,How many active travel agencies are you working with?,Every country has its own,30% spend bundled to one agency,60% spend bundled to one agency,Close to 100% bundled to one agency,2%,4%,2.0%-4.0%,"Consolidating travel agencies leverages volume bundling, reducing costs through economies of scale.",Leverage Competition Among Suppliers, Consolidate Volume, Consolidate travel agencies
"LogisticsRoad LogisticsIn the current market, carriers can cherry-pick customers and loads, so it's crucial to become a shipper of choice by enhancing warehouse infrastructure and improving communication with carriers.",75,Logistics,Road Logistics,,,How many carriers did participate in the last tender?,<5,5-10,10-25,>25,0%,1%,0.3%-0.5%,"In the current market, carriers can cherry-pick customers and loads, so it's crucial to become a shipper of choice by enhancing warehouse infrastructure and improving communication with carriers.",Seek Joint Advantage with Suppliers, Joint Capacity & Planning, Become shipper of choice
LogisticsLOG OceanLeveraging carrier participation for competitive ocean freight rates.,76,Logistics,LOG Ocean,,,How many carriers did participate in the last tender?,<5,5-10,10-15,>15,1%,1%,0.5%-1.0%,Leveraging carrier participation for competitive ocean freight rates.,Leverage Competition Among Suppliers, Competitive Bidding, Leverage carrier participation
"LogisticsRoad LogisticsTransportation is often managed by a long-term partner with premium rates, but regularly seeking multiple quotes for large volumes helps identify alternatives and true market rates.",77,Logistics,Road Logistics,,,How many carriers do you have on your contact longlist?,>50,25-50,25-10,<10,0%,1%,0.3%-0.5%,"Transportation is often managed by a long-term partner with premium rates, but regularly seeking multiple quotes for large volumes helps identify alternatives and true market rates.",Leverage Competition Among Suppliers, Competitive Bidding, Benchmark and seek multiple quotes
LogisticsLOG OceanOptimize carrier network by consolidating suppliers into specific categories.,78,Logistics,LOG Ocean,,,How many carriers do you have on your contact longlist?,<10,10-20,20-30,>30,1%,1%,0.5%-1.0%,Optimize carrier network by consolidating suppliers into specific categories.,Leverage Competition Among Suppliers, Rationalize Supply Base, Optimize carrier network/consolidate suppliers
Facility ManagementNATrack and monitor a critical number of KPIs for effective governance; avoid too few or too many (over 15) KPIs to manage monitoring efforts efficiently.,79,Facility Management,NA,,,How many KPIs do you have in place to monitor the performance of the facility management providers?,No KPIs defined,>15,10-15,5-10,1%,2%,1.0%-2.0%,Track and monitor a critical number of KPIs for effective governance; avoid too few or too many (over 15) KPIs to manage monitoring efforts efficiently.,Manage Spend, Control Compliance, Implement effective KPI monitoring
"TravelPolicyEvaluating travel flexibility balances cost control with business needs, optimizing travel spend.",80,Travel,Policy,,,How much flexibility does your department require when travelling? ,Complete flexibility,Limited flexibility within predefined policies,Strict adherence to policies,Case-by-case flexibility based on approval,1%,2%,1.0%-2.0%,"Evaluating travel flexibility balances cost control with business needs, optimizing travel spend.",Change the Nature of Demand, Optimize Service Levels, Evaluate travel flexibility
ITSoftware licensesReduce the number of software license providers to enhance bargaining power.,81,IT,Software licenses,,,How much of your license spend is with preferred suppliers?,<20%,20-60%,60-80%,80-100%,2%,3%,1.5%-3.0%,Reduce the number of software license providers to enhance bargaining power.,Leverage Competition Among Suppliers, Rationalize Supply Base, Reduce number of software license providers
"PackagingNAThis organization is characterized by the permanent concentration of decision makers in one place plus a dynamic planning process. Via improved information flow, disruption costs are avoided.",82,Packaging,NA,,,How much of your packaging spend is purchased from distributors?,>75%,75-50%,50-25%,<25%,4%,7%,3.5%-7.0%,"This organization is characterized by the permanent concentration of decision makers in one place plus a dynamic planning process. Via improved information flow, disruption costs are avoided.",Manage Spend, Improve Process Efficiency, Improve information flow/centralize planning
ConsultingNASetting up budgets for consultancy is a base step in establising a forecast and ensure Procurement can create meaningful framework contracts.,83,Consulting,NA,,,How much spend is reviewed every year for budgeting?,<40%,40-60%,60-80%,80-100%,2%,3%,1.5%-3.0%,Setting up budgets for consultancy is a base step in establising a forecast and ensure Procurement can create meaningful framework contracts.,Manage Spend, Improve Process Efficiency, Set up budgets/forecasts (consultancy)
Facility ManagementNAAnnually tender or renegotiate a high volume to benefit from market innovations and maintain high performance pressures on service providers.,84,Facility Management,NA,,,How much spend volume was tendered and renegotiated in the last 12 month? ,<20%,20-60%,60-80%,80-100%,1%,2%,1.0%-2.0%,Annually tender or renegotiate a high volume to benefit from market innovations and maintain high performance pressures on service providers.,Leverage Competition Among Suppliers, Competitive Bidding, Annual tendering/renegotiation
"LogisticsRoad LogisticsA large supplier list doesn't guarantee higher savings and requires manual effort for communication and follow-ups, but greater participation increases competitive pressure and improves rates.",85,Logistics,Road Logistics,,,How much time per week do you spend on market screening to stay on top of developments?,None,<5%,5-10%,>10%,1%,1%,0.5%-1.0%,"A large supplier list doesn't guarantee higher savings and requires manual effort for communication and follow-ups, but greater participation increases competitive pressure and improves rates.",Leverage Competition Among Suppliers, Competitive Bidding, Optimize supplier participation in tenders
TravelHotelRegularly negotiating hotel rate cards ensures competitive pricing and better deals.,86,Travel,Hotel,,,How often is rate card negotiated with Preferred hotels?,Never,Every 3-5 years,Every 2-3 years,Annually,1%,2%,1.0%-2.0%,Regularly negotiating hotel rate cards ensures competitive pricing and better deals.,Leverage Competition Among Suppliers, Competitive Bidding, Regular negotiation of rate cards
MarketingAd ProductionDecouple production from creative agency and establish roster of production houses,87,Marketing,Ad Production,,,How refreshed and relevant is the current roster of ad production suppliers?,non-existing as agency is managing production,Roster exists but loose discipline was applied when creating it a long time ago,There is a focused roster but with ratecards updated more than 2 years ago,Updated via pitch in <1 year ago plus has LCC on the list,1%,1%,0.5%-1.0%,Decouple production from creative agency and establish roster of production houses,Leverage Competition Among Suppliers, Rationalize Supply Base, Decouple services/diversify suppliers
"TravelPolicyRegular compliance reporting identifies deviations, ensuring cost-effective travel management.",88,Travel,Policy,,,How to do you manage the reporting? How often do you send out policy compliance report across the org ?,No reporting,Ad-hoc reporting,Quarterly reporting,Monthly reporting,2%,3%,1.5%-3.0%,"Regular compliance reporting identifies deviations, ensuring cost-effective travel management.",Manage Spend, Control Compliance, Regular compliance reporting (travel)
"Real estateNAConducting an in-depth analysis of existing data helps identify savings potential and prepares you for negotiations. Comparing discount rates and other factors ensures that you secure the best possible terms, optimizing costs and maximizing value",89,Real estate,NA,,,How to prepare negotiations with the landlord?,Walk into it & ask for a price reduction,Walk into it & ask for a price reduction & in addition free month of rent,"Understand the m2 prices for similar properties to base the request, ask for free month of rent, ",Understand the m2 prices for similar properties & have real alternatives at hand for a switch-over,1%,2%,1.0%-2.0%,"Conducting an in-depth analysis of existing data helps identify savings potential and prepares you for negotiations. Comparing discount rates and other factors ensures that you secure the best possible terms, optimizing costs and maximizing value",Leverage Competition Among Suppliers, Target Pricing & Cost Models, Data analysis for negotiation
MarketingAd ProductionUtilize cost-effective production sites.,90,Marketing,Ad Production,,,How well is global production market explored to capture production houses from low cost countries?,Significant,Good potential,Some potential,Low potential,1%,1%,0.5%-1.0%,Utilize cost-effective production sites.,Leverage Competition Among Suppliers, Global Sourcing, Utilize low-cost production sites
"MarketingTraditional MediaOptimize specs: R/F goals, deal-time mix, station mix, daypart mix, title mix.",91,Marketing,Traditional Media,,,How well optimized are current media specs?,Agency recommends mixes on ad hoc basis - mix was not fixed during tender,Some agency recommendations for campaign mix references the mixes from tender,Majority of agency recommendations for campaign mix references the mixes from tender,"For most campaigns, agency uses the deal type / station / daypart  / title as per the parameters fixed during tender (unless there is solid rationalle to deviate)",2%,3%,1.5%-3.0%,"Optimize specs: R/F goals, deal-time mix, station mix, daypart mix, title mix.",Change the Nature of Demand, Optimize Specifications, Optimize media specifications
TravelHotelEnsuring contracts for meeting locations controls expenses and optimizes facility use.,92,Travel,Hotel,,,If relevant spend in meetings: Are contracts in place/ are meeting locations negotiated and do people have access to these pre-defined rates?,There are no pre-defined rates,An assistent has the rates and needs to be contacted for them - which most people do not do,Online via sharepoint/a tool,"Policy in place, which states whether a meeting is really physically necessary",1%,1%,0.5%-1.0%,Ensuring contracts for meeting locations controls expenses and optimizes facility use.,Manage Spend, Control Compliance, Contract management (meeting locations)
Office SuppliesNASavings on IT expendables can be tough due to quantity estimation challenges. Opting for no-name cartridges from reputable makers like Pelikan is a viable solution. They often oversee production and offer warranties for capacity and reliability. Replacing faulty hardware with these cartridges is common practice.,93,Office Supplies,NA,,,Ink/printer cartridges: Is the colour limited to black and white?,Yes,-,-,No,1%,2%,1.0%-2.0%,Savings on IT expendables can be tough due to quantity estimation challenges. Opting for no-name cartridges from reputable makers like Pelikan is a viable solution. They often oversee production and offer warranties for capacity and reliability. Replacing faulty hardware with these cartridges is common practice.,Leverage Competition Among Suppliers,Standardize Specifications,Use generic/compatible products
ITSoftware development and maintenanceUse standard applications instead of entirely new developments (home-brewn solution).,94,IT,Software development and maintenance,,,Is a system in place that monitors if developments can be used project overarching?,No,-,-,Yes,1%,1%,0.5%-1.0%,Use standard applications instead of entirely new developments (home-brewn solution).,Change the Nature of Demand, Reduce Complexity, Use standard/off-the-shelf applications
"MarketingTraditional MediaFor TV/radio, secure agency commitments based on the total campaign cost rather than just the price per unit.

Secure agency commitments for TV/radio based on total campaign cost, not just unit price.",95,Marketing,Traditional Media,,,Is agency using the TCOC targets established during pitch for campaign planning?,Never,For some campaigns,For most campaigns,Always,2%,3%,1.5%-3.0%,"For TV/radio, secure agency commitments based on the total campaign cost rather than just the price per unit.

Secure agency commitments for TV/radio based on total campaign cost, not just unit price.",Manage Spend,Control Compliance,Secure total campaign cost commitments
"MarketingPOS MaterialDefine one integrator, who takes care of the whole SC and demand management of POS material",96,Marketing,POS Material,,,Is an POS Material& Print supplier in place,No,"Partially, some other agencies  exists",,Yes ,2%,3%,1.5%-3.0%,"Define one integrator, who takes care of the whole SC and demand management of POS material",Seek Joint Advantage with Suppliers, Joint Process Improvement, Appoint single integrator (POS)
"Facility ManagementNACentralize service standards for better SLA control and harmonization across locations, simplifying service provider management.",97,Facility Management,NA,,,Is the standard of these Soft services determined centrally or decentrally?,Determined by demand owners individually,Local,Regional,Central,1%,2%,1.0%-2.0%,"Centralize service standards for better SLA control and harmonization across locations, simplifying service provider management.",Manage Spend, Improve Process Efficiency, Centralize service standards/SLAs
FleetWay of purchasingExpand fixed elements in framework agreements for better structure and clarity.,98,Fleet,Way of purchasing,,,"Is there a group-wide framework agreement existing within the company, including all Business entities? If yes, what is included in the framework agreement?",No framework agreements/ Lose agreement of collaboration,In the framework agreement there is loosly described how the charges are calculated,Regional & national bonus/ Signing bonus,"Regional & national bonus/ Signing bonus, Interest rate, for shorter duration: OEM discount, service cost, fuel card bonus (if included over leasing company)",1%,1%,0.5%-1.0%,Expand fixed elements in framework agreements for better structure and clarity.,Leverage Competition Among Suppliers, Competitive Bidding, Expand fixed elements in framework agreements
TravelCar RentalDefining car size policies and ensuring compliance controls rental costs and optimizes resource use.,99,Travel,Car Rental,,,"Is there a policy in place defining the size of the car. If yes, how compliant is the proces?","There is no policy in place, the employee takes what he considers suitable.","There is a vague policy in place, adherence is not tracked.",Policy is in place - but the adherence is not tracked.,There is a clear definition in place which car to take in which situation. The policy is quite strict & adherence is monitored quite strictly.,2%,4%,2.0%-4.0%,Defining car size policies and ensuring compliance controls rental costs and optimizes resource use.,Manage Spend, Control Compliance, Define and enforce car size policies
MRONAThe approach critically evaluates current specifications and asking whether they are in fact useful or merely increase cost and complexity. Specifications that are not necessary are discarded.,100,MRO,NA,,,Is there a process for approving alternative products?,No,"No, but discussions ongoing","Yes, but rarely implemented",Yes,2%,3%,1.5%-3.0%,The approach critically evaluates current specifications and asking whether they are in fact useful or merely increase cost and complexity. Specifications that are not necessary are discarded.,Change the Nature of Demand, Optimize Specifications, Challenge and optimize specifications
"TravelPolicyStrict travel guidelines ensure necessary travel only, reducing unnecessary trips and costs.",101,Travel,Policy,,,Is there a strict & rigorious definition when to travel?,No restriction - people travel when they feel the need to,Definition of critical and non critical,Amount of people restricted by travel activity,Number 2 & 3 - and definition thoroughly checked,1%,2%,1.0%-2.0%,"Strict travel guidelines ensure necessary travel only, reducing unnecessary trips and costs.",Manage Spend, Control Compliance, Implement strict travel guidelines
TravelPolicyImplement a travel cost guideline to ensure cost-conscious booking within company restrictions.,102,Travel,Policy,,,Is there an existing travel cost policy?,"Yes, anyone can submit a request","Yes, but not communicated","Yes, but only as a document",Yes and implemented systemically,2%,3%,1.5%-3.0%,Implement a travel cost guideline to ensure cost-conscious booking within company restrictions.,Manage Spend, Control Compliance, Implement travel cost guidelines
MarketingAd ProductionEnhance process efficiency by streamlining and optimizing existing workflows and procedures.,103,Marketing,Ad Production,,,Is tripple bidding in place?,Never,Sometimes,Almost always,Always,1%,1%,0.5%-1.0%,Enhance process efficiency by streamlining and optimizing existing workflows and procedures.,Manage Spend, Improve Process Efficiency, Streamline/optimize workflows
"Temp LabourNAFor larger spend in several locations:consider a master vendor. A master vendor is a supplier who guarantees a fixed multiplier, subcontracts other agencies when needed, and may take over HR and operations tasks; they often offer reduced multipliers for large temp labor demands, balancing cost reduction with the risk of single-supplier dependence.",104,Temp Labour,NA,,,"Master Vendor: if spend on specific sites is larger, are master vendor programs tested? (a master vendor is a supplier who guarantees a multiplier and subcontracts other agencies when he does not have sufficient staff)","No - at sites with large spend, several suppliers are engaged", It is tested but decided against due to different reasons,"There is a master vendor program in place, where the MV is requesting staff from other agencies from time-to-time",There is a MV in place where the MV is also taking over the HR role and manage staff with additional targets to reduce costs,1%,2%,1.0%-2.0%,"For larger spend in several locations:consider a master vendor. A master vendor is a supplier who guarantees a fixed multiplier, subcontracts other agencies when needed, and may take over HR and operations tasks; they often offer reduced multipliers for large temp labor demands, balancing cost reduction with the risk of single-supplier dependence.",Leverage Competition Among Suppliers,Rationalize Supply Base,Utilize master vendors (temp labor)
"Real estateNAContinuously monitoring potential areas of value loss, such as unutilized payment terms, ensures that real estate demand is accurately assessed. This proactive approach helps optimize space usage and reduce unnecessary costs",105,Real estate,NA,,,Need for real estate: how is demand for real estate derived?,Real estate demand is currently existing locations.,Real estate demand is defined through the future target picture of how many people the company might have + a certain assumption about home office. No tracking of people in the office is possible.,Real estate demand is derived from future expecations + future analysis,"Real estate demand is optimzed, in accordance to the analyzed need: how many employees really come to the office,  home office policy, co-sharing of desks, decrease of common rooms, ",1%,2%,1.0%-2.0%,"Continuously monitoring potential areas of value loss, such as unutilized payment terms, ensures that real estate demand is accurately assessed. This proactive approach helps optimize space usage and reduce unnecessary costs",Change the Nature of Demand, Optimize Asset Utilization, Monitor value loss/optimize space usage
Office SuppliesNAThe approach critically evaluates current specifications and asking whether they are in fact useful or merely increase cost and complexity. Specifications that are not necessary are discarded.,106,Office Supplies,NA,,,Office material: What is the % of white label products to the total spend?,20%,40%,60%,>80%,1%,2%,1.0%-2.0%,The approach critically evaluates current specifications and asking whether they are in fact useful or merely increase cost and complexity. Specifications that are not necessary are discarded.,Change the Nature of Demand, Optimize Specifications, Challenge and optimize specifications
ITSoftware development and maintenanceAlign internal processes with industry standards to leverage out-of-the-box solutions.,107,IT,Software development and maintenance,,,"Past three years, regarding introduction of new software: What is the degree of commercial off-the-shelf software compared to total software (counted in SW products)?",<20%,20-60%,60-80%,80-100%,2%,3%,1.5%-3.0%,Align internal processes with industry standards to leverage out-of-the-box solutions.,Change the Nature of Demand, Reduce Complexity, Align processes with industry standards
"ITSoftware licensesUsing bundled license providers consolidates suppliers, achieving economies of scale, reducing costs.",108,IT,Software licenses,,,"To what degree do you use bundled license providers, e.g., SoftwareOne, to utilise economies of scale?",0,<5%,<20%,>20%,1%,1%,0.5%-1.0%,"Using bundled license providers consolidates suppliers, achieving economies of scale, reducing costs.",Leverage Competition Among Suppliers, Consolidate Volume, Bundle license providers
"LegalNASpecialist departments lead in commissioning legal and auditing services, while involving the purchasing department in critical processes like price negotiation can yield additional savings.",109,Legal,NA,,,To what degree is the purchasing department integrated in the procurement of legal advice?,Sourcing is conducted by legal department,Partially integrated (e.g. market screening of law/audit firms),Extended integrated (e.g. price negotiations),"Procurement conducts the RFP, creates a panel of legal companies and negotiates the lawyers",1%,1%,0.5%-1.0%,"Specialist departments lead in commissioning legal and auditing services, while involving the purchasing department in critical processes like price negotiation can yield additional savings.",Manage Spend, Improve Process Efficiency, Involve purchasing in critical processes
"LogisticsRoad LogisticsMost shipments are prioritized for fast delivery, but many could be slower and cheaper without impacting needs. A data-driven discussion with the business side is essential to highlight this opportunity.",110,Logistics,Road Logistics,,,To what extent are SLAs and requirements standardized across sites / BUs?,Not at all,Somewhat,To a large extent,Fully standardized,0%,1%,0.3%-0.5%,"Most shipments are prioritized for fast delivery, but many could be slower and cheaper without impacting needs. A data-driven discussion with the business side is essential to highlight this opportunity.",Change the Nature of Demand, Optimize Service Levels, Optimize delivery speed vs. cost
LogisticsLOG OceanStrategic SRM program enhances shipper status via collaborative capacity management.,111,Logistics,LOG Ocean,,,"To what extent are you investing resources and efforts in becoming a shipper of choice, e.g., through a strategic SRM program?",None,As little as needed to keep operations running,We selectively invest in partner to increase competition,All the time - competition is key for optimal rates,1%,1%,0.5%-1.0%,Strategic SRM program enhances shipper status via collaborative capacity management.,Seek Joint Advantage with Suppliers, Joint Capacity & Planning, Implement Strategic SRM
"LogisticsRoad LogisticsTransportation is often managed by a long-term partner with premium rates, but regularly seeking multiple quotes for large volumes helps identify alternatives and true market rates.",112,Logistics,Road Logistics,,,To what extent are you investing time and money to build new carriers to challenge existing partners?,None,As little as needed to keep operations running,We selectively invest in partner to increase competition,All the time - competition is key for optimal rates,0%,1%,0.3%-0.5%,"Transportation is often managed by a long-term partner with premium rates, but regularly seeking multiple quotes for large volumes helps identify alternatives and true market rates.",Leverage Competition Among Suppliers, Competitive Bidding, Benchmark and seek multiple quotes
LogisticsCEP LogisticsInvesting in new suppliers to challenge and diversify existing partnerships.,113,Logistics,CEP Logistics,,,To what extent are you investing time and money to build new suppliers to challenge existing partners,None,As little as needed to keep operations running,We selectively invest in partner to increase competition,All the time - competition is key for optimal rates,1%,1%,0.5%-1.0%,Investing in new suppliers to challenge and diversify existing partnerships.,Leverage Competition Among Suppliers, Rationalize Supply Base, Introduce new suppliers
LogisticsRoad LogisticsCentralizing transportation spend increases leverage and reduces fragmented local solutions.,114,Logistics,Road Logistics,,,"To what extent do you use expressive bidding elements (alternative bids, bundle / volume discounts, etc.) during RFPs?",Not at all,Tried in past but didn't work,Ocassionally,Everytime,0%,1%,0.3%-0.5%,Centralizing transportation spend increases leverage and reduces fragmented local solutions.,Leverage Competition Among Suppliers, Consolidate Volume, Centralize transportation spend
LogisticsCEP LogisticsExpressive bidding with categories enhances flexibility and competitive supplier proposals.,115,Logistics,CEP Logistics,,,"To what extent do you use expressive bidding elements (alternative bids, bundle / volume discounts, etc.) during RFPs?",Not at all,Tried in past but didn't work,Ocassionally,Everytime,2%,3%,1.5%-3.0%,Expressive bidding with categories enhances flexibility and competitive supplier proposals.,Leverage Competition Among Suppliers, Competitive Bidding, Expressive bidding (categorized)
